ds,Room Type,OccupancyRate,Price,Bookings,Season,ExternalFactor,Academic Event
1/1/2020,Single,0.62,81,10,Winter,1,0
1/1/2020,Shared,0.54,46.2,0,Winter,0,0
1/1/2020,Suite,0.44,144,7,Winter,0,0
1/2/2020,Single,0.6,80,9,Winter,0,0
1/2/2020,Shared,0.44,43.2,7,Winter,0,0
1/2/2020,Suite,0.48,148,2,Winter,0,0
1/3/2020,Single,0.53,76.5,0,Winter,0,0
1/3/2020,Shared,0.7,51,1,Winter,1,0
1/3/2020,Suite,0.27,127,1,Winter,0,0
1/4/2020,Single,0.53,76.5,5,Winter,0,0
1/4/2020,Shared,0.46,43.8,0,Winter,0,0
1/4/2020,Suite,0.19,119,6,Winter,0,0
1/5/2020,Single,0.53,76.5,2,Winter,0,0
1/5/2020,Shared,0.36,40.8,0,Winter,0,0
1/5/2020,Suite,0.38,138,6,Winter,0,0
1/6/2020,Single,0.18,59,7,Winter,0,0
1/6/2020,Shared,0.5,45,5,Winter,1,0
1/6/2020,Suite,0.69,169,8,Winter,1,0
1/7/2020,Single,0.21,60.5,9,Winter,0,0
1/7/2020,Shared,0.63,48.9,10,Winter,0,0
1/7/2020,Suite,0.64,164,2,Winter,0,0
1/8/2020,Single,0.47,73.5,9,Winter,0,0
1/8/2020,Shared,0.5,45,4,Winter,0,0
1/8/2020,Suite,0.34,134,5,Winter,0,0
1/9/2020,Single,0.4,70,1,Winter,0,0
1/9/2020,Shared,0.45,43.5,2,Winter,0,0
1/9/2020,Suite,0.74,174,10,Winter,1,0
1/10/2020,Single,0.38,69,9,Winter,0,0
1/10/2020,Shared,0.4,42,7,Winter,0,0
1/10/2020,Suite,0.52,152,1,Winter,0,0
1/11/2020,Single,0.7,85,2,Winter,1,0
1/11/2020,Shared,0.26,37.8,10,Winter,0,0
1/11/2020,Suite,0.3,130,0,Winter,0,0
1/12/2020,Single,0.63,81.5,8,Winter,0,0
1/12/2020,Shared,0.49,44.7,6,Winter,0,0
1/12/2020,Suite,0.35,135,0,Winter,0,0
1/13/2020,Single,0.41,70.5,8,Winter,0,0
1/13/2020,Shared,0.22,36.6,1,Winter,0,0
1/13/2020,Suite,0.64,164,9,Winter,0,0
1/14/2020,Single,0.49,74.5,0,Winter,0,0
1/14/2020,Shared,0.29,38.7,7,Winter,0,0
1/14/2020,Suite,0.47,147,5,Winter,0,0
1/15/2020,Single,0.8,90,2,Winter,1,0
1/15/2020,Shared,0.69,50.7,8,Winter,1,0
1/15/2020,Suite,0.34,134,7,Winter,0,0
